sym,rows_raw,div_src,divs_applied,div_from,adj_oldest,bad_bars,moves_gt25pct,max_abs_move,dupe_dates,gaps_gt10d,max_gap_d,rows,start,end,med_vol,atr_pct,sector
GLD,2513,none,0,-,1.0,0,0,10.3,0,0,4,2513,2016-09-01,2026-09-01,10660890.0,0.75,metals
SLV,2513,none,0,-,1.0,0,1,28.5,0,0,4,2513,2016-09-01,2026-09-01,30797070.0,1.43,metals
IAU,2513,none,0,-,1.0,0,0,10.2,0,0,4,2513,2016-09-01,2026-09-01,8354390.0,0.75,metals
PPLT,2513,none,0,-,1.0,0,0,18.4,0,0,4,2513,2016-09-01,2026-09-01,3481515.0,1.38,metals
CPER,2513,none,0,-,1.0,0,0,19.3,0,0,4,2513,2016-09-01,2026-09-01,569486.0,1.03,metals
PALL,2513,none,0,-,1.0,0,0,21.0,0,0,4,2513,2016-09-01,2026-09-01,1305335.5,1.82,metals
USO,2513,none,0,-,1.0,0,2,25.3,0,0,4,2513,2016-09-01,2026-09-01,6138790.0,1.95,energy
BNO,2513,none,0,-,1.0,0,0,21.9,0,0,4,2513,2016-09-01,2026-09-01,1224931.5,1.79,energy
UNG,2513,none,0,-,1.0,0,0,24.9,0,0,4,2513,2016-09-01,2026-09-01,10546385.0,2.88,energy
UGA,2513,none,0,-,1.0,0,0,22.3,0,0,4,2513,2016-09-01,2026-09-01,27599.5,1.85,energy
XLE,2513,sa,20,2021-09-20,0.8336,1,0,20.1,0,0,4,2512,2016-09-01,2026-09-01,34177650.0,1.71,energy
SPY,2513,sa,21,2021-06-18,0.9316,0,0,10.9,0,0,4,2513,2016-09-01,2026-09-01,65604460.0,0.88,equity
QQQ,2513,nasdaq,41,2012-06-15,0.9318,0,0,12.0,0,0,4,2513,2016-09-01,2026-09-01,49008730.0,1.26,equity
IWM,2513,sa,20,2021-09-24,0.9397,1,0,13.3,0,0,4,2512,2016-09-01,2026-09-01,32349195.0,1.42,equity
EFA,2513,sa,11,2021-12-13,0.8543,0,0,11.0,0,0,4,2513,2016-09-01,2026-09-01,15369445.0,0.7,equity
EEM,2513,sa,11,2021-12-13,0.8891,0,0,12.5,0,0,4,2513,2016-09-01,2026-09-01,28380530.0,0.87,equity
EWJ,2513,sa,10,2021-12-13,0.8879,0,0,9.8,0,0,4,2513,2016-09-01,2026-09-01,5885298.0,0.68,equity
EWG,2513,sa,9,2021-12-13,0.8816,0,0,12.7,0,0,4,2513,2016-09-01,2026-09-01,1758783.0,0.8,equity
FEZ,2513,sa,20,2021-09-20,0.8593,0,0,12.5,0,0,4,2513,2016-09-01,2026-09-01,1339828.0,0.83,equity
EWU,2513,sa,10,2021-12-13,0.8228,0,0,12.0,0,0,4,2513,2016-09-01,2026-09-01,1814898.5,0.76,equity
TLT,2513,nasdaq,120,2002-09-03,0.7521,0,0,7.5,0,0,4,2513,2016-09-01,2026-09-01,29841235.0,0.74,rates
IEF,2513,nasdaq,120,2002-09-03,0.7909,0,0,2.6,0,0,4,2513,2016-09-01,2026-09-01,7603446.0,0.31,rates
SHY,2513,nasdaq,120,2002-09-03,0.8133,0,0,1.0,0,0,4,2513,2016-09-01,2026-09-01,3609500.0,0.06,rates
TIP,2513,sa,48,2021-09-01,0.8166,0,0,4.5,0,0,4,2513,2016-09-01,2026-09-01,2300443.5,0.27,rates
LQD,2513,sa,60,2021-09-01,0.8207,0,0,7.4,0,0,4,2513,2016-09-01,2026-09-01,30188050.0,0.38,rates
HYG,2513,sa,61,2021-09-01,0.7525,0,0,6.5,0,0,4,2513,2016-09-01,2026-09-01,37098340.0,0.32,rates
BWX,2513,sa,60,2021-09-01,0.9164,0,0,5.3,0,0,4,2513,2016-09-01,2026-09-01,364166.5,0.49,rates
FXE,2513,sa,45,2022-12-01,0.949,0,0,2.5,0,0,4,2513,2016-09-01,2026-09-01,98138.0,0.34,fx
FXY,2513,none,0,-,1.0,0,0,4.1,0,0,4,2513,2016-09-01,2026-09-01,168130.0,0.34,fx
FXB,2513,sa,48,2022-09-01,0.9045,0,0,4.2,0,0,4,2513,2016-09-01,2026-09-01,11279.0,0.34,fx
FXA,2513,sa,46,2022-10-03,0.9553,0,0,4.4,0,0,4,2513,2016-09-01,2026-09-01,10852.0,0.36,fx
FXF,2513,sa,7,2023-10-02,0.9995,0,0,4.0,0,0,4,2513,2016-09-01,2026-09-01,50768.0,0.32,fx
UUP,2513,sa,4,2022-12-19,0.8621,0,0,3.8,0,0,4,2513,2016-09-01,2026-09-01,1453733.5,0.33,fx
DBA,2513,sa,4,2022-12-19,0.8824,0,0,4.9,0,0,4,2513,2016-09-01,2026-09-01,457368.5,0.8,ags
CORN,2513,none,0,-,1.0,0,0,7.0,0,0,4,2513,2016-09-01,2026-09-01,156484.5,1.15,ags
WEAT,2513,none,0,-,1.0,0,0,15.6,0,0,4,2513,2016-09-01,2026-09-01,330075.0,1.67,ags
SOYB,2513,none,0,-,1.0,0,0,6.4,0,0,4,2513,2016-09-01,2026-09-01,78336.0,1.0,ags
CANE,2513,none,0,-,1.0,0,0,6.6,0,0,4,2513,2016-09-01,2026-09-01,146422.0,1.22,ags
DBC,2513,sa,4,2022-12-19,0.8701,1,0,7.9,0,0,4,2512,2016-09-01,2026-09-01,696564.0,0.96,cmdty
GSG,2513,none,0,-,1.0,0,0,12.1,0,0,4,2513,2016-09-01,2026-09-01,640800.0,1.13,cmdty
