trades,pf,wr,pnl,pctile,draws,null_median,maxdd,sym,sector,N,cost
73,1.8961191448506236,0.3698630136986301,402.1667918915296,0.655,200,1.7222274990516886,2.8238222245405646,GLD,metals,20,cheap_2bp
70,1.8277942453267257,0.32857142857142857,305.7858531864051,0.685,200,1.6035920205177894,4.863896776123722,SLV,metals,20,cheap_2bp
72,1.95065819434981,0.3888888888888889,407.19735597037965,0.655,200,1.717992051648541,2.946471456103248,IAU,metals,20,cheap_2bp
76,1.154982371721127,0.3815789473684211,60.772996093273406,0.5,200,1.157583737644339,7.286079809814991,PPLT,metals,20,cheap_2bp
84,0.982711461321467,0.27380952380952384,-9.723060536403771,0.27,200,1.177952408043947,8.437370237017046,CPER,metals,20,cheap_2bp
79,0.9596831189092497,0.31645569620253167,-19.86416828571873,0.285,200,1.1510517751929974,10.153851994715806,PALL,metals,20,cheap_2bp
69,1.8505236139096113,0.34782608695652173,352.6804085851793,0.66,200,1.5880398825070166,5.5087606893099,USO,energy,20,cheap_2bp
66,2.169870337406194,0.42424242424242425,438.96574230500926,0.845,200,1.7334390024566142,3.1106746554674225,BNO,energy,20,cheap_2bp
79,0.8638647318240875,0.34177215189873417,-60.11242313774927,0.38,200,0.9344422620870063,6.6303717970521525,UNG,energy,20,cheap_2bp
81,1.262221575036008,0.32098765432098764,129.9754281438051,0.26,200,1.4836043726068469,11.55283520785848,UGA,energy,20,cheap_2bp
68,1.3468224510059388,0.38235294117647056,132.59504168896484,0.695,200,1.1308127013130438,6.82738010400914,XLE,energy,20,cheap_2bp
73,1.2037936402145475,0.3972602739726027,81.14219442352243,0.165,200,1.4801070202448385,4.659212684395915,SPY,equity,20,cheap_2bp
70,1.3695677987183694,0.4,143.63417603318948,0.33,200,1.5282282752770862,4.484314121274392,QQQ,equity,20,cheap_2bp
70,0.9641404741319869,0.32857142857142857,-15.47623460719783,0.54,200,0.938572303407801,9.08672185256366,IWM,equity,20,cheap_2bp
85,0.8327524967462682,0.3058823529411765,-83.3752582910395,0.13,200,1.1206129576571051,8.48695145382939,EFA,equity,20,cheap_2bp
84,1.0145408261191542,0.36904761904761907,6.765635567498445,0.415,200,1.0746127082671366,6.091701919206554,EEM,equity,20,cheap_2bp
89,0.7858338015337606,0.25842696629213485,-116.16244793076932,0.07,200,1.1599768364523382,9.839534458620502,EWJ,equity,20,cheap_2bp
86,0.8966696438757583,0.32558139534883723,-52.35978579733185,0.315,200,1.047000265705516,6.938866831377586,EWG,equity,20,cheap_2bp
83,0.8146205680565378,0.3253012048192771,-82.4922821836254,0.185,200,1.011261166684675,5.265929066738707,FEZ,equity,20,cheap_2bp
85,0.8334904773647497,0.3058823529411765,-85.33225125309414,0.14,200,1.169160380772044,9.974074136514227,EWU,equity,20,cheap_2bp
84,0.8476335533409841,0.2976190476190476,-81.55342242907707,0.34,200,0.9604038920581981,7.607006665553281,TLT,rates,20,cheap_2bp
83,0.9857926699575278,0.3253012048192771,-7.252262504332315,0.305,200,1.1592850071793692,6.85809855193948,IEF,rates,20,cheap_2bp
32,3.335241028512963,0.5,374.1524468901794,0.765,200,2.3675750630727226,1.0238602159814802,SHY,rates,20,cheap_2bp
77,0.6704281931724049,0.2727272727272727,-167.58845663736986,0.135,200,0.9779511684541968,8.379422831868464,TIP,rates,20,cheap_2bp
71,1.1825584429652944,0.352112676056338,77.81897848970637,0.615,200,1.0712125293167762,4.041872863918444,LQD,rates,20,cheap_2bp
71,0.6691284708477105,0.323943661971831,-139.54092210604077,0.1,200,0.9173395429423706,8.356767490944685,HYG,rates,20,cheap_2bp
69,0.9696535763589983,0.3333333333333333,-12.223730886787342,0.41,200,1.047342518961363,5.128883190283183,BWX,rates,20,cheap_2bp
81,0.9424297696696757,0.4074074074074074,-25.280452311373885,0.59,200,0.8821896458253188,6.43832903249756,FXE,fx,20,cheap_2bp
83,1.314353016781839,0.3855421686746988,153.83217103468655,0.415,200,1.399683917245789,5.610085498541305,FXY,fx,20,cheap_2bp
94,0.8307351071611362,0.2978723404255319,-97.10203879793377,0.12,200,1.105786386381965,7.686622589299811,FXB,fx,20,cheap_2bp
94,0.7990281209362826,0.32978723404255317,-111.20931755648336,0.265,200,0.9308664584444459,10.602674811710205,FXA,fx,20,cheap_2bp
86,1.0046445910100514,0.313953488372093,2.4525447543457535,0.37,200,1.1330283646872505,7.188401120657225,FXF,fx,20,cheap_2bp
77,1.1915750820530957,0.35064935064935066,85.5084261798835,0.425,200,1.2766891291193603,4.214145327314625,UUP,fx,20,cheap_2bp
75,1.1993307524858177,0.3466666666666667,83.03051516954606,0.635,200,1.1060060148263162,7.248486574432975,DBA,ags,20,cheap_2bp
69,1.1552819135615582,0.391304347826087,62.393465648837925,0.61,200,1.032234425437827,4.138097699626019,CORN,ags,20,cheap_2bp
71,0.8688295010374109,0.4084507042253521,-46.654065797586725,0.575,200,0.8178149844867806,4.35725956678176,WEAT,ags,20,cheap_2bp
69,1.2875408729110922,0.34782608695652173,112.58427515038196,0.785,200,1.021500402045219,4.175412000802056,SOYB,ags,20,cheap_2bp
75,1.215735400657632,0.32,91.6194109938074,0.56,200,1.1367104886458899,5.828326613643196,CANE,ags,20,cheap_2bp
80,1.2222916817228284,0.3125,113.82086356641491,0.275,200,1.4108783751052025,9.20625194229509,DBC,cmdty,20,cheap_2bp
79,1.3008834129724938,0.3291139240506329,158.93565080023745,0.3,200,1.4556013984156708,9.566462416697487,GSG,cmdty,20,cheap_2bp
32,3.5377470349230316,0.46875,363.3441593801509,0.94,200,2.0215544843620075,2.1279203969977694,GLD,metals,100,cheap_2bp
31,2.0300213255320068,0.3225806451612903,197.5576771876548,0.695,200,1.6330716647678711,5.146755436829937,SLV,metals,100,cheap_2bp
33,3.171879803453846,0.45454545454545453,345.71361832608557,0.905,200,2.0447246560606915,2.8876003956488816,IAU,metals,100,cheap_2bp
32,0.9130002706115524,0.3125,-16.83285682596544,0.315,200,1.105451056567539,7.215073030497159,PPLT,metals,100,cheap_2bp
32,1.5064828704315893,0.375,94.90492596416796,0.585,200,1.337645418520104,3.0582797253263956,CPER,metals,100,cheap_2bp
43,1.0403641936905148,0.37209302325581395,10.177844827134075,0.39,200,1.1366199855928691,5.167707394044909,PALL,metals,100,cheap_2bp
32,1.9274781489017945,0.34375,200.83131021939934,0.705,200,1.5544533100256248,5.918814871257458,USO,energy,100,cheap_2bp
31,2.3483294425408427,0.41935483870967744,250.1560018261697,0.8,200,1.7472177256955397,4.5191550063435795,BNO,energy,100,cheap_2bp
44,0.765162483088592,0.25,-72.98705221066294,0.385,200,0.8817748394650236,6.982223031402349,UNG,energy,100,cheap_2bp
34,2.174318620116141,0.4117647058823529,220.93360654311263,0.79,200,1.575102699522751,2.9300035150452857,UGA,energy,100,cheap_2bp
34,1.2892970492209226,0.35294117647058826,62.76486425810389,0.63,200,1.0660271250943039,5.988866569728649,XLE,energy,100,cheap_2bp
41,1.9151886039797859,0.5121951219512195,175.9281628775297,0.625,200,1.7459678713696185,1.9656803605722428,SPY,equity,100,cheap_2bp
42,1.7657560781761372,0.4523809523809524,172.07185529153787,0.525,200,1.7204184894163679,3.298462249885501,QQQ,equity,100,cheap_2bp
34,0.8887193446644979,0.29411764705882354,-21.19481447525289,0.32,200,1.1011692250516107,4.4490314211645146,IWM,equity,100,cheap_2bp
51,0.514191551067871,0.2549019607843137,-153.53790015237888,0.0,200,1.2373111192714852,9.459783029374922,EFA,equity,100,cheap_2bp
47,0.6428243084704757,0.3191489361702128,-96.90067084276336,0.07,200,1.080578199413628,6.567210379771024,EEM,equity,100,cheap_2bp
43,1.1916212405647593,0.27906976744186046,47.078920813357584,0.61,200,1.1064848643276122,4.775661655589369,EWJ,equity,100,cheap_2bp
42,0.9294683872666043,0.40476190476190477,-14.825576389251772,0.33,200,1.058052251711012,2.7747499325575555,EWG,equity,100,cheap_2bp
48,0.6103233067083279,0.3333333333333333,-107.12357867794194,0.01,200,1.1219848437011835,6.165887658362703,FEZ,equity,100,cheap_2bp
43,0.8349311179692599,0.3488372093023256,-39.75307367577517,0.17,200,1.1609980055515454,6.179159836347129,EWU,equity,100,cheap_2bp
30,1.3230174509781638,0.3333333333333333,58.122303237583566,0.835,200,0.9157348781113956,2.3400917638302405,TLT,rates,100,cheap_2bp
38,1.2144157889322793,0.3157894736842105,49.25690095626135,0.59,200,1.1030412679987258,5.875889858623866,IEF,rates,100,cheap_2bp
22,5.560124433440619,0.5454545454545454,366.76140330173604,0.91,200,2.4680028493601966,1.142927160912214,SHY,rates,100,cheap_2bp
34,1.0146102903624439,0.35294117647058826,2.804922196993518,0.54,200,0.9559265226227548,3.3439121919333346,TIP,rates,100,cheap_2bp
29,2.523885803804336,0.5517241379310345,207.67304975709712,0.97,200,0.9489214083572919,1.514560374961119,LQD,rates,100,cheap_2bp
39,0.7046577337878829,0.28205128205128205,-72.77557694397551,0.25,200,0.9056182834278989,5.780198040843425,HYG,rates,100,cheap_2bp
34,0.8469962335754546,0.35294117647058826,-28.470866483484606,0.41,200,0.9472247364424675,3.9402055302327725,BWX,rates,100,cheap_2bp
42,0.4345412598115477,0.3333333333333333,-147.2159191411982,0.02,200,0.8623686341021358,8.75851512752738,FXE,fx,100,cheap_2bp
44,1.0317010166718472,0.3181818181818182,8.842349351260532,0.2,200,1.4078389404352234,6.390914822571755,FXY,fx,100,cheap_2bp
47,0.5992544791935618,0.2978723404255319,-116.02883302176464,0.07,200,1.084360132522606,5.922212682875953,FXB,fx,100,cheap_2bp
45,0.4684412480848944,0.24444444444444444,-149.95309648025363,0.04,200,0.9054214406668316,9.261215647836673,FXA,fx,100,cheap_2bp
36,0.6601924521816102,0.3611111111111111,-60.240894601209675,0.17,200,1.0771576067583744,4.123975876571774,FXF,fx,100,cheap_2bp
34,1.1566012973634887,0.3235294117647059,26.198958027671924,0.36,200,1.2930628222542124,2.5130348184636038,UUP,fx,100,cheap_2bp
35,1.3374077352395362,0.37142857142857144,59.827637862192546,0.645,200,1.1633125934679924,3.535489264214479,DBA,ags,100,cheap_2bp
36,1.158924125365981,0.3333333333333333,33.4263251098257,0.685,200,0.9419537862161753,4.246540044610831,CORN,ags,100,cheap_2bp
41,0.2637917491521829,0.1951219512195122,-200.2492373821,0.0,200,0.8134462985834934,10.75524913407269,WEAT,ags,100,cheap_2bp
32,1.5241036775702064,0.375,103.30698845283271,0.775,200,0.9110844032724336,3.9682092140017797,SOYB,ags,100,cheap_2bp
42,1.011316731644116,0.2619047619047619,3.1613153333541355,0.465,200,1.062994728890059,5.474291131297612,CANE,ags,100,cheap_2bp
38,1.651013014027155,0.3157894736842105,157.92908881904316,0.65,200,1.439563359710654,6.456034175047458,DBC,cmdty,100,cheap_2bp
36,1.7409799220915534,0.3333333333333333,183.23138337409983,0.695,200,1.4304004123956373,4.169907120062854,GSG,cmdty,100,cheap_2bp
73,1.8543043020428311,0.3698630136986301,388.4416620274503,0.655,200,1.6840921064066032,2.9074104124972346,GLD,metals,20,mid_6bp
69,1.7848335507976976,0.3333333333333333,294.64818101140474,0.69,200,1.5584560777161514,5.105678893803803,SLV,metals,20,mid_6bp
72,1.9069773194105148,0.3888888888888889,393.66253923821677,0.67,200,1.6538374802692397,3.0534624520564164,IAU,metals,20,mid_6bp
76,1.1299659296493563,0.3815789473684211,51.505450419466,0.495,200,1.1357457160674946,7.510533756738726,PPLT,metals,20,mid_6bp
83,0.9670639172248737,0.26506024096385544,-18.6575136809285,0.27,200,1.160385763684966,8.593868571469375,CPER,metals,20,mid_6bp
80,0.9258697149998761,0.3,-37.52759632806093,0.28,200,1.1334224015705803,10.812989701608094,PALL,metals,20,mid_6bp
69,1.823295430600333,0.34782608695652173,344.47591517926367,0.66,200,1.5611244140247493,5.64941712578033,USO,energy,20,mid_6bp
